Rank,Player,Pos,Team
1,David Johnson,RB,ARI
2,Le'Veon Bell,RB,PIT
3,Antonio Brown,WR,PIT
4,Julio Jones,WR,ATL
5,Odell Beckham Jr.,WR,NYG
6,LeSean McCoy,RB,BUF
7,Jordy Nelson,WR,GB
8,Mike Evans,WR,TB
9,A.J. Green,WR,CIN
10,Devonta Freeman,RB,ATL
11,Michael Thomas,WR,NO
12,Melvin Gordon,RB,LAC
13,Jordan Howard,RB,CHI
14,DeMarco Murray,RB,TEN
15,Jay Ajayi,RB,MIA
16,Doug Baldwin,WR,SEA
17,Brandin Cooks,WR,NE
18,T.Y. Hilton,WR,IND
19,Todd Gurley,RB,LAR
20,Rob Gronkowski,TE,NE
21,Dez Bryant,WR,DAL
22,Amari Cooper,WR,OAK
23,Leonard Fournette,RB,JAC
24,Demaryius Thomas,WR,DEN
25,Lamar Miller,RB,HOU
26,Terrelle Pryor Sr.,WR,WAS
27,Alshon Jeffery,WR,PHI
28,DeAndre Hopkins,WR,HOU
29,Isaiah Crowell,RB,CLE
30,Ezekiel Elliott,RB,DAL
31,Michael Crabtree,WR,OAK
32,Keenan Allen,WR,LAC
33,Golden Tate,WR,DET
34,Christian McCaffrey,RB,CAR
35,Kareem Hunt,RB,KC
36,Marshawn Lynch,RB,OAK
37,Larry Fitzgerald,WR,ARI
38,Carlos Hyde,RB,SF
39,Ty Montgomery,RB,GB
40,Dalvin Cook,RB,MIN
41,Jordan Reed,TE,WAS
42,Davante Adams,WR,GB
43,Jarvis Landry,WR,MIA
44,Emmanuel Sanders,WR,DEN
45,Tom Brady,QB,NE
46,Aaron Rodgers,QB,GB
47,Danny Woodhead,RB,BAL
48,Travis Kelce,TE,KC
49,Jamison Crowder,WR,WAS
50,Bilal Powell,RB,NYJ
51,Kelvin Benjamin,WR,CAR
52,Allen Robinson,WR,JAC
53,Tyreek Hill,WR,KC
54,Joe Mixon,RB,CIN
55,Greg Olsen,TE,CAR
56,Sammy Watkins,WR,LAR
57,Drew Brees,QB,NO
58,Pierre Garcon,WR,SF
59,Stefon Diggs,WR,MIN
60,Mark Ingram,RB,NO
61,Martavis Bryant,WR,PIT
62,Frank Gore,RB,IND
63,Brandon Marshall,WR,NYG
64,Mike Gillislee,RB,NE
65,Theo Riddick,RB,DET
66,Adrian Peterson,RB,NO
67,DeVante Parker,WR,MIA
68,Willie Snead,WR,NO
69,Matt Ryan,QB,ATL
70,Ameer Abdullah,RB,DET
71,Paul Perkins,RB,NYG
72,C.J. Anderson,RB,DEN
73,Jeremy Maclin,WR,BAL
74,Rob Kelley,RB,WAS
75,Eric Decker,WR,TEN
76,DeSean Jackson,WR,TB
77,Terrance West,RB,BAL
78,Duke Johnson Jr.,RB,CLE
79,Mike Wallace,WR,BAL
80,Jimmy Graham,TE,SEA
81,Donte Moncrief,WR,IND
82,Russell Wilson,QB,SEA
83,Kenny Britt,WR,CLE
84,Tevin Coleman,RB,ATL
85,Adam Thielen,WR,MIN
86,Eddie Lacy,RB,SEA
87,James White,RB,NE
88,Delanie Walker,TE,TEN
89,Kyle Rudolph,TE,MIN
90,Matt Forte,RB,NYJ
91,Darren McFadden,RB,DAL
92,Cam Newton,QB,CAR
93,Kirk Cousins,QB,WAS
94,Tyrell Williams,WR,LAC
95,Doug Martin,RB,TB
96,Zach Ertz,TE,PHI
97,Randall Cobb,WR,GB
98,Jonathan Stewart,RB,CAR
99,Rishard Matthews,WR,TEN
100,Andrew Luck,QB,IND
101,Darren Sproles,RB,PHI
102,Chris Hogan,WR,NE
103,LeGarrette Blount,RB,PHI
104,Thomas Rawls,RB,SEA
105,Giovani Bernard,RB,CIN
106,Jordan Matthews,WR,PHI
107,C.J. Prosise,RB,SEA
108,Dak Prescott,QB,DAL
109,Corey Coleman,WR,CLE
110,Zay Jones,WR,BUF
111,Tyler Eifert,TE,CIN
112,Corey Davis,WR,TEN
113,Jacquizz Rodgers,RB,TB
114,Jameis Winston,QB,TB
115,Marcus Mariota,QB,TEN
116,Derek Carr,QB,OAK
117,Kevin White,WR,CHI
118,Matthew Stafford,QB,DET
119,John Brown,WR,ARI
120,Chris Thompson,RB,WAS
121,Ted Ginn Jr.,WR,NO
122,Derrick Henry,RB,TEN
123,Danny Amendola,WR,NE
124,Josh Doctson,WR,WAS
125,Hunter Henry,TE,LAC
126,Martellus Bennett,TE,GB
127,Ben Roethlisberger,QB,PIT
128,Rex Burkhead,RB,NE
129,Broncos D/ST,D/ST,DEN
130,Marvin Jones Jr.,WR,DET
131,Seahawks D/ST,D/ST,SEA
132,Jack Doyle,TE,IND
133,Chiefs D/ST,D/ST,KC
134,Texans D/ST,D/ST,HOU
135,Vikings D/ST,D/ST,MIN
136,Latavius Murray,RB,MIN
137,Shane Vereen,RB,NYG
138,Sterling Shepard,WR,NYG
139,Justin Tucker,K,BAL
140,Philip Rivers,QB,LAC
141,Matt Bryant,K,ATL
142,Tyrod Taylor,QB,BUF
143,Stephen Gostkowski,K,NE
144,Adam Vinatieri,K,IND
145,Dan Bailey,K,DAL
146,Alvin Kamara,RB,NO
147,Charles Sims,RB,TB
148,Charcandrick West,RB,KC
149,Cardinals D/ST,D/ST,ARI
150,Patriots D/ST,D/ST,NE
151,Matt Prater,K,DET
152,Torrey Smith,WR,PHI
153,Dustin Hopkins,K,WAS
154,Eric Ebron,TE,DET
155,Marqise Lee,WR,JAC
156,Jeremy Hill,RB,CIN
157,Kenny Stills,WR,MIA
158,Robert Woods,WR,LAR
159,Andy Dalton,QB,CIN
160,Panthers D/ST,D/ST,CAR
161,Jason Witten,TE,DAL
162,Mason Crosby,K,GB
163,D'Onta Foreman,RB,HOU
164,Wendell Smallwood,RB,PHI
165,Carson Wentz,QB,PHI
166,Samaje Perine,RB,WAS
167,Jaguars D/ST,D/ST,JAC
168,Bengals D/ST,D/ST,CIN
169,Kendall Wright,WR,CHI
170,Cairo Santos,K,KC
171,Austin Hooper,TE,ATL
172,DeAndre Washington,RB,OAK
173,Tyler Lockett,WR,SEA
174,Dion Lewis,RB,NE
175,Cooper Kupp,WR,LAR
176,Jalen Richard,RB,OAK
177,John Ross,WR,CIN
178,Cole Beasley,WR,DAL
179,Giants D/ST,D/ST,NYG
180,Cameron Brate,TE,TB
181,Mohamed Sanu,WR,ATL
182,Eagles D/ST,D/ST,PHI
183,Devontae Booker,RB,DEN
184,James Conner,RB,PIT
185,Tim Hightower,RB,SF
186,Eli Manning,QB,NYG
187,Nelson Agholor,WR,PHI
188,Jamaal Williams,RB,GB
189,Carson Palmer,QB,ARI
190,Devin Funchess,WR,CAR
191,Wil Lutz,K,NO
192,Jamaal Charles,RB,DEN
193,Breshad Perriman,WR,BAL
194,Chris Boswell,K,PIT
195,Julius Thomas,TE,MIA
196,Will Fuller V,WR,HOU
197,J.J. Nelson,WR,ARI
198,Taylor Gabriel,WR,ATL
199,Marlon Mack,RB,IND
200,Allen Hurns,WR,JAC